Time,0001HEL_TOP,0002HEL_TOP,0003HEL_TOP,0004HEL_TOP,0005HEL_TOP,0006HEL_TOP,0007HEL_TOP
-0.0125,0.1291,-0.051639,0.0,0.10328,0.051639,0.077459,0.051639
-0.01245,0.0,0.077459,-0.02582,0.051639,0.0,-0.051639,-0.02582
-0.0124,0.10328,0.051639,0.077459,0.051639,0.051639,0.077459,0.051639
-0.01235,0.051639,0.051639,0.0,0.0,0.0,0.0,0.077459
-0.0123,0.051639,-0.051639,0.10328,0.051639,0.077459,0.051639,-0.02582
-0.01225,0.051639,0.051639,0.0,0.077459,0.051639,0.077459,0.051639
-0.0122,-0.02582,0.077459,0.051639,0.0,0.077459,0.051639,0.0
-0.01215,0.077459,0.051639,0.0,0.077459,0.077459,0.051639,0.077459
-0.0121,-0.02582,0.077459,0.10328,0.051639,-0.02582,0.0,0.0
-0.01205,-0.051639,0.10328,-0.02582,-0.051639,0.10328,0.051639,0.077459
-0.012,-0.02582,0.0,0.051639,0.077459,0.077459,-0.02582,0.051639
-0.01195,0.0,-0.02582,0.0,0.10328,-0.02582,0.077459,0.051639
-0.0119,0.077459,0.077459,0.051639,0.10328,-0.077459,0.051639,-0.02582
-0.01185,0.077459,-0.02582,0.10328,0.077459,0.051639,0.051639,-0.077459
-0.0118,0.051639,0.0,0.10328,0.077459,-0.051639,0.0,0.051639
-0.01175,0.051639,-0.02582,0.0,0.10328,0.051639,-0.02582,0.0
-0.0117,0.051639,0.051639,-0.051639,0.10328,0.10328,-0.02582,0.0
-0.01165,0.077459,-0.02582,0.10328,0.10328,0.051639,0.0,0.0
-0.0116,0.051639,-0.02582,0.0,0.077459,0.051639,0.077459,0.051639
-0.01155,-0.02582,0.051639,0.051639,0.10328,0.0,0.077459,-0.051639
-0.0115,0.10328,0.051639,0.077459,0.051639,-0.051639,0.051639,0.077459
-0.01145,-0.02582,-0.02582,0.10328,0.10328,0.0,-0.02582,-0.02582
-0.0114,0.077459,-0.02582,0.0,0.10328,0.077459,0.051639,0.0
-0.01135,0.077459,0.051639,0.0,0.0,0.077459,0.077459,0.051639
-0.0113,0.051639,-0.02582,0.077459,0.1291,0.077459,0.15492,-0.02582
-0.01125,0.077459,0.10328,-0.02582,0.051639,0.0,0.077459,0.077459
-0.0112,0.077459,0.0,0.051639,0.077459,0.10328,0.051639,0.051639
-0.01115,0.077459,0.077459,0.077459,0.077459,0.1291,0.051639,0.051639
-0.0111,0.077459,0.0,0.051639,0.1291,0.0,0.077459,-0.02582
-0.01105,0.077459,0.077459,0.051639,0.051639,0.051639,0.10328,-0.02582
-0.011,0.051639,0.077459,0.0,0.0,0.1291,0.051639,0.051639
-0.01095,0.10328,0.0,0.051639,-0.051639,0.077459,0.051639,0.051639
-0.0109,0.077459,0.077459,0.051639,0.051639,0.077459,0.051639,0.051639
-0.01085,0.051639,0.051639,0.077459,0.0,0.10328,0.0,0.051639
-0.0108,0.10328,0.0,0.051639,0.077459,0.051639,0.051639,0.0
-0.01075,0.0,0.0,0.051639,0.051639,0.077459,0.0,0.0
-0.0107,0.077459,0.10328,0.0,-0.02582,0.0,-0.02582,0.10328
-0.01065,0.051639,0.0,0.051639,0.0,0.077459,0.051639,0.051639
-0.0106,0.0,0.0,0.10328,0.051639,0.077459,0.077459,0.1291
-0.01055,0.051639,0.051639,0.051639,0.051639,-0.02582,0.077459,-0.02582
-0.0105,0.051639,0.077459,0.0,0.077459,0.077459,0.051639,0.077459
-0.01045,0.051639,-0.02582,0.0,-0.02582,0.077459,0.077459,0.051639
-0.0104,0.051639,0.0,0.051639,-0.02582,0.077459,0.077459,0.077459
-0.01035,0.1291,-0.051639,0.077459,-0.02582,0.10328,-0.051639,-0.02582
-0.0103,0.051639,-0.051639,0.051639,0.0,0.10328,0.077459,-0.02582
-0.01025,0.077459,0.051639,0.0,0.051639,-0.02582,-0.051639,0.0
-0.0102,0.077459,0.077459,0.077459,-0.02582,-0.02582,0.051639,0.077459
-0.01015,0.0,-0.051639,0.10328,0.077459,0.077459,0.077459,0.10328
-0.0101,0.077459,0.051639,0.1291,0.051639,0.077459,0.077459,0.10328
-0.01005,-0.02582,0.077459,0.077459,0.051639,0.051639,-0.02582,0.10328
-0.01,0.051639,-0.02582,0.077459,0.051639,0.051639,-0.02582,0.051639
-0.00995,0.051639,0.051639,0.051639,0.077459,0.0,0.077459,-0.051639
-0.0099,0.077459,0.077459,0.0,0.10328,0.051639,0.077459,0.051639
-0.00985,-0.02582,0.10328,0.077459,0.10328,0.0,0.1291,0.077459
-0.0098,0.0,0.10328,0.077459,-0.02582,0.051639,-0.051639,-0.02582
-0.00975,0.077459,0.051639,0.10328,0.0,0.051639,0.0,-0.02582
-0.0097,0.0,-0.02582,0.0,0.10328,0.051639,0.077459,0.1291
-0.00965,0.051639,0.0,-0.051639,0.051639,0.051639,-0.077459,0.0
-0.0096,0.0,0.051639,-0.02582,0.051639,0.051639,0.10328,0.051639
-0.00955,0.051639,0.0,0.0,0.0,0.051639,0.077459,0.077459
-0.0095,-0.02582,0.051639,0.0,0.051639,0.051639,0.077459,0.051639
-0.00945,0.051639,0.0,-0.02582,0.077459,0.0,0.051639,0.051639
-0.0094,0.0,0.051639,-0.02582,0.0,0.0,0.051639,0.051639
-0.00935,0.077459,0.0,0.0,0.051639,0.077459,0.1291,0.1291
-0.0093,0.10328,0.051639,0.077459,0.10328,0.051639,0.077459,0.077459
-0.00925,0.051639,-0.10328,0.0,0.0,0.077459,0.0,0.077459
-0.0092,0.10328,0.077459,0.10328,0.1291,0.10328,0.051639,0.051639
-0.00915,0.077459,0.10328,0.051639,0.077459,0.0,-0.02582,0.0
-0.0091,0.10328,0.0,0.077459,0.077459,0.051639,0.077459,0.051639
-0.00905,0.077459,0.0,0.077459,0.051639,0.051639,0.10328,0.0
-0.009,-0.051639,-0.02582,-0.02582,-0.051639,0.0,0.051639,0.051639
-0.00895,-0.051639,0.051639,0.077459,0.077459,-0.02582,0.0,0.051639
-0.0089,0.1291,0.10328,0.051639,0.051639,0.077459,0.0,0.077459
-0.00885,0.051639,-0.051639,0.1291,0.077459,0.051639,0.0,0.051639
-0.0088,0.077459,0.0,0.077459,-0.02582,0.077459,0.077459,0.077459
-0.00875,0.051639,0.0,0.0,-0.02582,0.0,0.051639,-0.02582
-0.0087,0.051639,-0.02582,0.051639,0.10328,0.051639,0.051639,0.051639
-0.00865,0.077459,0.077459,-0.051639,0.051639,-0.02582,-0.02582,0.0
-0.0086,0.10328,0.051639,0.051639,0.0,0.0,0.1291,0.051639
-0.00855,0.051639,-0.051639,0.0,0.0,0.10328,-0.02582,0.0
-0.0085,0.051639,0.0,0.051639,0.051639,0.051639,0.051639,0.051639
-0.00845,0.0,-0.02582,0.0,0.051639,0.0,0.077459,0.10328
-0.0084,-0.02582,-0.051639,0.051639,-0.02582,0.051639,0.077459,0.10328
-0.00835,0.10328,0.0,0.1291,0.077459,0.051639,0.10328,-0.02582
-0.0083,0.077459,-0.02582,0.051639,0.10328,0.051639,0.10328,0.0
-0.00825,0.051639,-0.051639,0.051639,0.051639,-0.02582,0.077459,0.051639
-0.0082,0.077459,0.077459,0.10328,0.077459,0.077459,0.077459,0.10328
-0.00815,0.077459,0.0,0.10328,0.0,0.077459,0.051639,-0.02582
-0.0081,0.0,0.1291,0.1291,0.051639,0.10328,-0.02582,0.10328
-0.00805,0.10328,-0.051639,0.0,0.077459,0.077459,0.10328,0.0
-0.008,0.077459,0.0,0.0,0.0,0.051639,-0.051639,0.0
-0.00795,0.1291,0.10328,0.051639,0.051639,0.0,0.077459,0.077459
-0.0079,0.077459,-0.02582,0.1291,0.051639,0.10328,-0.02582,0.077459
-0.00785,-0.02582,0.0,0.077459,0.1291,0.10328,0.051639,0.051639
-0.0078,0.077459,0.077459,0.10328,0.077459,0.077459,0.0,0.10328
-0.00775,0.10328,0.051639,0.077459,-0.02582,0.051639,0.051639,0.077459
-0.0077,0.077459,-0.02582,0.1291,0.10328,0.077459,0.051639,0.0
-0.00765,0.051639,0.077459,0.051639,0.0,-0.02582,-0.02582,0.077459
-0.0076,0.0,0.0,0.0,0.0,0.077459,-0.02582,0.051639
-0.00755,0.077459,0.077459,0.0,0.0,0.10328,0.051639,0.0
-0.0075,0.051639,0.051639,0.10328,0.051639,-0.051639,0.051639,0.0
-0.00745,0.10328,0.051639,-0.051639,0.051639,0.10328,-0.02582,0.0
-0.0074,0.051639,0.077459,0.051639,0.077459,0.051639,0.0,0.077459
-0.00735,0.0,-0.02582,0.051639,0.0,-0.02582,0.051639,0.077459
